Varför?	Why?
Han har aldrig varit i Amerika.	He's never been to America.
Jag kommer att behöva din hjälp.	I'm going to need your help.
Jag vill inte prata om det.	I don't want to talk about it.
Han vill inte prata om det.	He doesn't want to talk about it.
Vad för fråga är det där?	What kind of question is that?
Snälla fråga inte en sådan fråga.	Please don't ask that kind of question.
Jag ville bara ställa en fråga.	I just wanted to ask a question.
Har du lärt dig din läxa?	Have you learned your lesson?
Vad gjorde du i skolan idag?	What did you do at school today?
Mary gillar att titta på tv.	Mary likes watching TV.
Kan jag ställa ner den här?	May I put it down here?
Har du någonsin varit på TV?	Have you ever been on TV?
Vem är det som äger pistolen?	Who does the gun belong to?
Varför är du arg på honom?	Why are you angry with him?
Varför ser du så ledsen ut?	Why are you looking so sad?
Varför är du så trött idag?	Why are you so tired today?
Varför gjorde han en sån sak?	Why did he do such a thing?
Min lägenhet ligger här i närheten.	My apartment is near here.
Vet du varför himlen är blå?	Do you know why the sky is blue?
Pengar är roten till allt ont.	Money is the root of all evil.
Jag är riktigt stolt över dig.	I'm really proud of you.
Han är bra på att sjunga.	He is good at singing.
Han blev av med sitt jobb.	He lost his job.
Hur är det med din pappa?	How is your dad?
Jag kommer att berätta för dig.	I'll tell you.
Ta det i din egen takt.	Pace yourself.
Vad ska vi ta oss till?	What'll we do?
Jag ska ta hand om det.	I'll handle it.
Jag kommer att vara hos Tom.	I'll be at Tom's.
Jag kommer att följa med dig.	I'll go with you.
Jag tar hand om det här.	I'll handle this.
Jag kommer att hämta upp Tom.	I'll pick Tom up.
Jag kommer att prata med Tom.	I'll talk to Tom.
Jag är trött på det här.	I'm sick of this.
Tom åt så mycket han orkade.	Tom ate his fill.
Han flydde från teatern efter mordet.	He had fled the theater after the murder.
Hon kan bara lita på honom.	She can only trust him.
Han är en väldigt hälsosam person.	He's a very healthy person.
Raketen är i omloppsbana runt månen.	The rocket is in orbit around the moon.
Låt oss berätta allt vi vet.	Let us tell you everything we know.
Jag tror att vi glömde någonting.	I think we forgot something.
Det var trevligt att göra ingenting.	It was nice to do nothing.
Jag förlorade allt som jag hade.	I lost everything I had.
Det finns en annan möjlighet också.	There's also another possibility.
Det ligger en bok på bordet.	There is a book on the table.
Låt mig ge dig ett råd.	Let me give you a word of advice.
Jag skulle vilja se&nbsp;de&nbsp;igen.	I'd like to see them again.
Jag skulle vilja träffa&nbsp;de&nbsp;igen.	I'd like to see them again.
Den här genomskinliga vätskan innehåller gift.	This transparent liquid contains poison.
Tom undrar om det är sant.	Tom wonders if it is true.
Ta på dig en klänning då.	Why don't you wear a dress?
Hon är inte sjuksköterska, utan läkare.	She is not a nurse, but a doctor.
Jag vill bara vara med dig.	I just want to be with you.
Det fanns ingen kvar utom mig.	There was no one left but me.
Han kan mycket väl ha rätt.	He may well be right.
Kunde du ta det här, tack?	Could you take this, please?
Han förklädde sig till en kvinna.	He disguised himself as a woman.
Ken läste när jag kom hem.	Ken was reading when I came home.
Jag har en överraskning för dig.	I have a surprise for you.
Han vill spela fotboll i eftermiddag.	He wants to play soccer this afternoon.
Jag har en överraskning åt dig.	I have a surprise for you.
Jag vet att du är arg.	I know you're angry.
Ingången till toaletten är mycket smutsig.	The entrance to the toilet is very dirty.
Vetenskap är viktig för våra liv.	Science is important for our lives.
Det finns en katt i lådan.	There is a cat in the box.
Jag går till jobbet klockan sju.	I go to work at seven o'clock.
Jag köpte henne en vacker klänning.	I bought her a beautiful dress.
Det här är en liten bok.	This is a small book.
Det ligger en apelsin på bordet.	There is an orange on the table.
Jag vill inte höra några ursäkter.	I don't want to hear any excuses.
Konferensen kommer att hållas i Tokyo.	The conference is to be held in Tokyo.
Det finns ett fel i meningen.	There is a mistake in the sentence.
Jag ber om ursäkt för det.	I apologize for it.
De har läst en intressant bok.	They have been reading an interesting book.
De lät mig välja en present.	They let me pick a present.
Finns det någon som kan svara?	Is there anyone who can answer?
Mark tog sina saker och gick.	Mark took his things and left.
Är det någon som kan svara?	Is there anyone who can answer?
Hon är orolig för sin vikt.	She worries about her weight.
Hon oroar sig för sin vikt.	She worries about her weight.
Skynda dig, annars missar du tåget.	Be quick, or you will miss the train.
Mitt huvudämne på universitetet var kemi.	I majored in chemistry at the university.
Han stack sitt hus i brand.	He set his house on fire.
Han satte eld på sitt hus.	He set his house on fire.
Mannen satte eld på sig själv.	The man set himself on fire.
Den där dunkudden ser dyr ut.	That down pillow looks expensive.
Hon kvävde honom med en kudde.	She suffocated him with a pillow.
Får jag raka av dina polisonger?	May I shave your sideburns?
Hans frånvaro igår berodde på förkylning.	His absence yesterday was due to his cold.
Ett fruktansvärt kaos härskar i vardagsrummet.	A horrible chaos reigns in the living room.
Jag ska till Paris i helgen.	I am going to Paris this weekend.
Edward Sapir var en amerikansk lingvist.	Edward Sapir was an American linguist.
Jag har många samtal att ringa.	I have a lot of calls to make.
Jag har många beslut att fatta.	I have a lot of calls to make.
Hon är stolt över sin dotter.	She takes pride in her daughter.
Jag vill inte lägga mig i.	I don't wish to interfere.
Den här filmen är ett mästerverk.	This film is a masterpiece.
Tom borde definitivt ha fått dödsstraff.	Tom definitely should have gotten the death sentence.
Medicinen gjorde underverk för hans hälsa.	The medicine did wonders for his health.
Vad fick dig att komma hit?	What made you come here?
Enligt tidningen ska det snöa imorgon.	According to the paper, it will snow tomorrow.
Det är den bästa vi har.	It's the best we have.
Hon bad sin lärare om råd.	She asked her teacher for advice.
Stationen är två engelska mil bort.	The station is two English miles away.
Han går vanligtvis hem klockan fem.	He generally goes home at five o'clock.
Vi börjar mötet när Bob kommer.	We will begin the meeting when Bob comes.
Jag vill inte leva med dig.	I don't want to live with you.
Jag vill gifta mig med Heather.	I want to marry Heather.
Jag sköt upp hushållsarbetet några timmar.	I postponed doing my housework for a few hours.
Snälla ge mig någonting att äta.	Please give me something to eat.
Låt oss hålla kontakten med varandra.	Let's keep in touch with each other.
Jag lyssnar nästan aldrig på radio.	I almost never listen to the radio.
Jag vill inte se dum ut.	I don't want to look stupid.
Ingen är rik i mitt land.	Nobody is rich in my country.
Tankar uttrycks med hjälp av ord.	Thoughts are expressed by means of words.
Tom kommer inte att göra det.	Tom is not going to do it.
Har du någonsin sett Buckingham Palace?	Have you ever seen Buckingham Palace?
När kommenterade du en mening senast?	When was the last time you commented a sentence?
Tom kan inte läsa utan glasögon.	Tom can't read without glasses.
När jag springer, blir jag svettig.	When I run, I get sweaty.
Hon vill arbeta på ett sjukhus.	She wants to work in a hospital.
Jag ska aldrig glömma Toms ansikte.	I'll never forget Tom's face.
För ögonblicket har vi större problem.	Right now, we've got bigger problems.
Just nu, har vi större problem.	Right now, we've got bigger problems.
Toms far är en berömd konstnär.	Tom's father is a famous artist.
Det finns ingenting jag kan göra.	There's nothing I can do.
Tom kunde inte bestämma sig omedelbart.	Tom couldn't make up his mind right away.
Han förnekade sin inblandning i historien.	He denied having been involved in the affair.
Han är något av en musiker.	He is something of a musician.
Jag tycker att vi borde vänta.	I think we should wait.
Du kan lika gärna börja omedelbart.	You may as well start at once.
Jag sa att det var ok.	I said it was all right.
Du kom in i mitt rum.	You came into my room.
Ni kom in i mitt rum.	You came into my room.
Jag skulle vilja köpa en hund.	I would like to buy a dog.
Jag ska berätta det för Emily.	I'll tell it to Emily.
Emily ska berätta det för Melanie.	Emily will tell it to Melanie.
Du borde gå till en läkare.	You should see a doctor.
Välkommen tillbaka. Vi har saknat dig!	Welcome back. We missed you!
Mary är en väldigt söt tjej.	Mary is a very pretty girl.
Jag måste lära mig ett språk.	I have to learn a language.
Jag behöver en bok att läsa.	I need a book to read.
Han ger ut böcker i Italien.	He publishes books in Italy.
Jag vill inte göra några misstag.	I don't want to make any mistakes.
Där blev han anfallen av rebellerna.	He was attacked there by the rebels.
Betty gick till havet i går.	Betty went to the sea yesterday.
Åker du tåg eller bil?	Do you go by train or by car?
Jag läser boken, medan jag äter.	I am reading the book while eating.
Tror du att han är död?	Do you think he is dead?
Pojkarna och flickorna leker i trädgården.	The boys and girls play in the garden.
Jag behöver också förbättra min engelska.	I also need to improve my English.
Jag söker efter en gammal man.	I'm looking for an old man.
Vad är minimilönen i ditt land?	What's the minimum salary in your country?
Den här hunden är inte min.	This dog is not mine.
De räddade pojken från att drunkna.	They rescued the boy from drowning.
Jag spelar ett spel på nätet.	I'm playing a game online.
Vad för slags bröd äter du?	What sort of bread are you eating?
Jag ska stanna hemma i dag.	I will stay home today.
Solen är mycket långt från Jorden.	The Sun is very far from the Earth.
”Får jag låna din ordbok?” ”Naturligtvis.”	"""Could I borrow your dictionary?"" ""Of course."""
Sluta skrika. Mitt huvud gör ont.	Stop yelling. My head hurts.
Den här personen bor inte här.	This person doesn't live here.
Den här katten jagar inte möss.	This cat doesn't chase mice.
Jag kommer att åka till Irland.	I'll go to Ireland.
Du kommer att åka till Irland.	You'll go to Ireland.
Ni kommer att åka till Irland.	You'll go to Ireland.
Han kommer att åka till Irland.	He'll go to Ireland.
Hon kommer att åka till Irland.	She'll go to Ireland.
Vi kommer att åka till Irland.	We'll go to Ireland.
De kommer att åka till Irland.	They'll go to Ireland.
Ovanför molnen fortsätter solen att lysa.	Above the clouds, the sun keeps on shining.
Det här kommer att ta år.	This is going to take years.
Marika översatte min bok till tyska.	Marika translated my book into German.
Han brukar gå upp klockan sex.	He usually gets up at six.
Det är lätt som en plätt.	It's a piece of cake.
Han såg genom fingrarna med det.	He turned a blind eye.
Jag ska åka till Boston i morgon.	I'll go to Boston tomorrow.
